index	event	rel	is_certain(1:certain; 0:uncertain)	gene/protein	disease	sentence
1	G. Regulate	C. Cause	1	CIB1	heart failure	In this regard, we have recently identified the calcium-binding protein CIB1 as an important regulator of pathological cardiac hypertrophy and transition to heart failure.
2	I. None	E. Associate	1	NP	heart failure	Increased plasma amino-terminal-cleavage-fragment of NP (NT-proBNP) is an established indicator for heart failure.
3	I. None	F. None	1	CD133	chf	But so far our knowledge about the number of circulating hematopoietic stem/ progenitor cells (CPC) expressing the early hematopoietic marker CD133 and CD34 in CHF is spares and therefore we determined their number and correlated them with New York Heart Association (NYHA) functional class.
4	I. None	E. Associate	1	STC1	heart failure	Because the mammalian counterpart of the fish calcium-regulating hormone stanniocalcin-1 (STC1) is expressed in the heart, we reasoned that STC1 might play a role in the adaptive-maladaptive processes that lead to the heart failure phenotype.
5	F.2 Methylation	E. Associate	1	TIMP4	heart failure	We observed that there are 7 CpG islands in the TIMP4 promoter which get methylated during the progression of heart failure which leads to its epigenetic silencing.
6	I. None	E. Associate	1	TNF	heart failure	Perhaps the most direct evidence for the role of TNF(α) in heart failure will come from the analysis of the phase I study in which a soluble recombinant human TNF receptor: Fc fusion protein was utilized in patients with moderate to severe heart failure Enrollment in that trial was recently completed; the results will soon be available for analysis.
7	F.2 Methylation	F. None	1	estrogen receptor	congestive heart failure	Known epigenetic changes contributing to CVD include hypomethylation in proliferating vascular smooth muscle cells in atherosclerosis, changes in estrogen receptor-α (ER-α) and ER-β methylation in vascular disease, decreased superoxide dismutase 2 expression in pulmonary hypertension (PH), as well as trimethylation of histones H3K4 and H3K9 in congestive heart failure.
8	I. None	E. Associate	1	SIRT1	heart failure	The purpose of this study was to investigate the functional role of SIRT1 in the heart and the potential use of SIRT1 in therapy for heart failure.
9	I. None	F. None	1	salvador homolog 1	congestive heart failure	We identified four functional categories of genes possibly involved in abnormal heart development: cardiac morphogenesis: tenascin, thioredoxin, salvador homolog 1 protein; extracellular matrix (ECM) and valvular tissue biosynthesis; placental-associated plasma protein, collagen, type I, alpha 2, fibulin-1, heparanase, procollagen-proline, 2-oxoglutarate 4-dioxygenase, alpha polypeptide II, Jumonji, AT rich interactive domain 1B RBP2-like; normal contractile activity: actinin, alpha 4, fascin homolog 1, actin-bundling protein; and congestive heart failure.
10	D.1 Mutation	E. Associate	1	dystrophin	heart failure	Thousands of different dystrophin mutations have been identified in DMD patients, who suffer from a loss of ambulation followed by respiratory insufficiency, heart failure, and death by the third decade of life.
11	A.2 Under-expression	H. Benefit	1	AQP2	chf	Long-term treatment with obestatin improves water retention in CHF by increasing urinary output through downregulation of AQP2 expression in renal IMCD cells.
12	A.1 Over-expression	E. Associate	1	angiotensin II	chronic cardiac failure	Myocardial fibrosis, associated with increased expression of angiotensin converting enzyme (ACE) and bradykinin (BK) receptor binding at sites of tissue repair, accompanies chronic elevations in circulating angiotensin II (AngII) and/or aldosterone (ALDO) that simulate chronic cardiac failure.
13	I. None	F. None	1	CD4	CHRONIC HEART FAILURE	Multiple logistic regression analysis showed that CAD was independently associated with age, gender, body mass index (BMI), systolic blood pressure (SBP), chronic heart failure (CHF) and the CD4/CD8 ratio.
14	I. None	F. None	1	prothrombin	CHRONIC HEART FAILURE	In stable, optimally managed outpatients with chronic heart failure, baseline levels of prothrombin fragment F1+2, D-dimer, and tPA and PAI-1 antigens were determined.
